,Unnamed: 0,Arabic,Amharic
0,0,في ,በ ውስጥ
1,1,أن ,ያ
2,2,هذا ,ይህ
3,3,على ,በእኔ ላይ
4,4,أنا ,እኔ
5,5,لقد ,ሊን
6,6,كان ,ነበር
7,7,هنا ,እዚ 'ጋ
8,8,هو ,እሱ ነው
9,9,هذه ,ይህ ነው
10,10,نعم ,አዎ
11,11,ان ,ያ
12,12,كل ,ሁሉም
13,13,كنت ,እነ ነበርኩ
14,14,شيء ,የሆነ ነገር
15,15,الآن ,አሁን
16,16,مع ,ከ ጋር
17,17,لك ,ለእርስዎ
18,18,لن ,አይሆንም
19,19,نحن ,እኛ
20,20,أي ,የትኛው
21,21,هي ,እርሷ
22,22,أنه ,እሱ ነው ሀ
23,23,فى ,በ ውስጥ
24,24,حتى ,እስከ
25,25,بعد ,ርቀት
26,26,أو ,ወይም
27,27,إنها ,ያ ነው
28,28,ربما ,ምናልባት
29,29,أين ,የት
30,30,هيا ,ኧረ
31,31,تلك ,ያ
32,32,إن ,ያ
33,33,أريد ,እፈልጋለሁ
34,34,أعتقد ,አምናለው
35,35,انت ,አንቺ
36,36,عليك ,በአንተ ላይ
37,37,أنك ,አንተ ነህ
38,38,الوقت ,ጊዜው
39,40,أحد ,አንድ
40,41,رجل ,ሰው
41,42,شكراً ,አመሰግናለሁ
42,43,كما ,እንደ
